image,caption
1000268201_693b08cb0e.jpg,startseq child in pink dress is climbing up set of stairs in an entry way endseq
1000268201_693b08cb0e.jpg,startseq girl going into wooden building endseq
1000268201_693b08cb0e.jpg,startseq little girl climbing into wooden playhouse endseq
1000268201_693b08cb0e.jpg,startseq little girl climbing the stairs to her playhouse endseq
1000268201_693b08cb0e.jpg,startseq little girl in pink dress going into wooden cabin endseq
1001773457_577c3a7d70.jpg,startseq black dog and spotted dog are fighting endseq
1001773457_577c3a7d70.jpg,startseq black dog and tri-colored dog playing with each other on the road endseq
1001773457_577c3a7d70.jpg,startseq black dog and white dog with brown spots are staring at each other in the street endseq
1001773457_577c3a7d70.jpg,startseq two dogs of different breeds looking at each other on the road endseq
1001773457_577c3a7d70.jpg,startseq two dogs on pavement moving toward each other endseq
1002674143_1b742ab4b8.jpg,startseq little girl covered in paint sits in front of painted rainbow with her hands in bowl endseq
1002674143_1b742ab4b8.jpg,startseq little girl is sitting in front of large painted rainbow endseq
1002674143_1b742ab4b8.jpg,startseq small girl in the grass plays with fingerpaints in front of white canvas with rainbow on it endseq
1002674143_1b742ab4b8.jpg,startseq there is girl with pigtails sitting in front of rainbow painting endseq
1002674143_1b742ab4b8.jpg,startseq young girl with pigtails painting outside in the grass endseq
1003163366_44323f5815.jpg,startseq man lays on bench while his dog sits by him endseq
1003163366_44323f5815.jpg,startseq man lays on the bench to which white dog is also tied endseq
1003163366_44323f5815.jpg,startseq man sleeping on bench outside with white and black dog sitting next to him endseq
1003163366_44323f5815.jpg,startseq shirtless man lies on park bench with his dog endseq
1003163366_44323f5815.jpg,startseq man laying on bench holding leash of dog sitting on ground endseq
1007129816_e794419615.jpg,startseq man in an orange hat starring at something endseq
1007129816_e794419615.jpg,startseq man wears an orange hat and glasses endseq
1007129816_e794419615.jpg,startseq man with gauges and glasses is wearing blitz hat endseq
1007129816_e794419615.jpg,startseq man with glasses is wearing beer can crocheted hat endseq
1007129816_e794419615.jpg,startseq the man with pierced ears is wearing glasses and an orange hat endseq
1007320043_627395c3d8.jpg,startseq child playing on rope net endseq
1007320043_627395c3d8.jpg,startseq little girl climbing on red roping endseq
1007320043_627395c3d8.jpg,startseq little girl in pink climbs rope bridge at the park endseq
1007320043_627395c3d8.jpg,startseq small child grips onto the red ropes at the playground endseq
1007320043_627395c3d8.jpg,startseq the small child climbs on red ropes on playground endseq
1009434119_febe49276a.jpg,startseq black and white dog is running in grassy garden surrounded by white fence endseq
1009434119_febe49276a.jpg,startseq black and white dog is running through the grass endseq
1009434119_febe49276a.jpg,startseq boston terrier is running in the grass endseq
1009434119_febe49276a.jpg,startseq boston terrier is running on lush green grass in front of white fence endseq
1009434119_febe49276a.jpg,startseq dog runs on the green grass near wooden fence endseq
1012212859_01547e3f17.jpg,startseq dog shakes its head near the shore red ball next to it endseq
1012212859_01547e3f17.jpg,startseq white dog shakes on the edge of beach with an orange ball endseq
1012212859_01547e3f17.jpg,startseq dog with orange ball at feet stands on shore shaking off water endseq
1012212859_01547e3f17.jpg,startseq white dog playing with red ball on the shore near the water endseq
1012212859_01547e3f17.jpg,startseq white dog with brown ears standing near water with head turned to one side endseq
1015118661_980735411b.jpg,startseq boy smiles in front of stony wall in city endseq
1015118661_980735411b.jpg,startseq little boy is standing on the street while man in overalls is working on stone wall endseq
1015118661_980735411b.jpg,startseq young boy runs aross the street endseq
1015118661_980735411b.jpg,startseq young child is walking on stone paved street with metal pole and man behind him endseq
1015118661_980735411b.jpg,startseq smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him endseq
1015584366_dfcec3c85a.jpg,startseq black dog leaps over log endseq
1015584366_dfcec3c85a.jpg,startseq grey dog is leaping over fallen tree endseq
1015584366_dfcec3c85a.jpg,startseq large black dog leaps fallen log endseq
1015584366_dfcec3c85a.jpg,startseq mottled black and grey dog in blue collar jumping over fallen tree endseq
1015584366_dfcec3c85a.jpg,startseq the black dog jumped the tree stump endseq
101654506_8eb26cfb60.jpg,startseq brown and white dog is running through the snow endseq
101654506_8eb26cfb60.jpg,startseq dog is running in the snow endseq
101654506_8eb26cfb60.jpg,startseq dog running through snow endseq
101654506_8eb26cfb60.jpg,startseq white and brown dog is running through snow covered field endseq
101654506_8eb26cfb60.jpg,startseq the white and brown dog is running over the surface of the snow endseq
101669240_b2d3e7f17b.jpg,startseq man in hat is displaying pictures next to skier in blue hat endseq
101669240_b2d3e7f17b.jpg,startseq man skis past another man displaying paintings in the snow endseq
101669240_b2d3e7f17b.jpg,startseq person wearing skis looking at framed pictures set up in the snow endseq
101669240_b2d3e7f17b.jpg,startseq skier looks at framed pictures in the snow next to trees endseq
101669240_b2d3e7f17b.jpg,startseq man on skis looking at artwork for sale in the snow endseq
1016887272_03199f49c4.jpg,startseq collage of one person climbing cliff endseq
1016887272_03199f49c4.jpg,startseq group of people are rock climbing on rock climbing wall endseq
1016887272_03199f49c4.jpg,startseq group of people climbing rock while one man belays endseq
1016887272_03199f49c4.jpg,startseq seven climbers are ascending rock face whilst another man stands holding the rope endseq
1016887272_03199f49c4.jpg,startseq several climbers in row are climbing the rock while the man in red watches and holds the line endseq
1019077836_6fc9b15408.jpg,startseq brown dog chases the water from sprinkler on lawn endseq
1019077836_6fc9b15408.jpg,startseq brown dog plays with the hose endseq
1019077836_6fc9b15408.jpg,startseq brown dog running on lawn near garden hose endseq
1019077836_6fc9b15408.jpg,startseq dog is playing with hose endseq
1019077836_6fc9b15408.jpg,startseq large brown dog running away from the sprinkler in the grass endseq
1019604187_d087bf9a5f.jpg,startseq dog prepares to catch thrown object in field with nearby cars endseq
1019604187_d087bf9a5f.jpg,startseq white dog is about to catch yellow ball in its mouth endseq
1019604187_d087bf9a5f.jpg,startseq white dog is about to catch yellow dog toy endseq
1019604187_d087bf9a5f.jpg,startseq white dog is ready to catch yellow ball flying through the air endseq
1019604187_d087bf9a5f.jpg,startseq white dog running after yellow ball endseq
1020651753_06077ec457.jpg,startseq black and white dog jumping in the air to get toy endseq
1020651753_06077ec457.jpg,startseq black and white dog jumps up towards yellow toy endseq
1020651753_06077ec457.jpg,startseq dog leaps to catch ball in field endseq
1020651753_06077ec457.jpg,startseq white dog is trying to catch ball in midair over grassy field endseq
1020651753_06077ec457.jpg,startseq the white dog is playing in green field with yellow toy endseq
1022454332_6af2c1449a.jpg,startseq child and woman are at waters edge in big city endseq
1022454332_6af2c1449a.jpg,startseq large lake with lone duck swimming in it with several people around the edge of it endseq
1022454332_6af2c1449a.jpg,startseq little boy at lake watching duck endseq
1022454332_6af2c1449a.jpg,startseq young boy waves his hand at the duck in the water surrounded by green park endseq
1022454332_6af2c1449a.jpg,startseq two people are at the edge of lake facing the water and the city skyline endseq
1022454428_b6b660a67b.jpg,startseq couple and an infant being held by the male sitting next to pond with near by stroller endseq
1022454428_b6b660a67b.jpg,startseq couple sit on the grass with baby and stroller endseq
1022454428_b6b660a67b.jpg,startseq couple with their newborn baby sitting under tree facing lake endseq
